run,group,dataset,count,answer_recall_at_5,answer_recall_at_10,answer_recall_at_20,answer_mrr_at_10,answer_mrr_at_20,evidence_group_recall_at_5,evidence_group_recall_at_10,evidence_group_recall_at_20,all_evidence_success_at_5,all_evidence_success_at_10,all_evidence_success_at_20,evidence_mapping_success,generator_em,generator_token_f1,source
G3-R2-RL-AnswerF1-Anchor050,g3-r2,triviaqa,11313,0.748,0.7923,0.8256,0.6523,0.6547,,,,,,,,0.6133,0.6982,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027-g3-r2/G3-R2-RL-AnswerF1-Anchor050-s42/qa_eval/summary.json
G3-R2-RL-AnswerF1-Anchor050,g3-r2,2wikimultihopqa,12576,0.3925,0.4594,0.5187,0.2929,0.2971,0.2041,0.2253,0.2403,0.056,0.0869,0.1117,0.3746,0.2878,0.3514,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027-g3-r2/G3-R2-RL-AnswerF1-Anchor050-s42/qa_eval/summary.json
G3-R2-RL-AnswerF1-Anchor050,g3-r2,musique,2417,0.2213,0.2909,0.3575,0.1544,0.1592,0.0667,0.0767,0.0857,0.0066,0.0124,0.0207,0.2052,0.0707,0.1476,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027-g3-r2/G3-R2-RL-AnswerF1-Anchor050-s42/qa_eval/summary.json
G3-R2-RL-AnswerF1-Anchor050,g3-r2,bamboogle,125,0.216,0.312,0.424,0.1281,0.1358,,,,,,,,0.168,0.2594,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027-g3-r2/G3-R2-RL-AnswerF1-Anchor050-s42/qa_eval/summary.json
G3-R2-RL-AnswerF1-Anchor050,g3-r2,training_domain_avg,,0.6016,0.6652,0.7178,0.4803,0.484,,,,,,,,0.3457,0.4502,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027-g3-r2/G3-R2-RL-AnswerF1-Anchor050-s42/qa_eval/summary.json
G3-R2-RL-AnswerF1-Anchor050,g3-r2,held_out_avg,,0.458,0.5243,0.5869,0.3666,0.371,,,,,,,,0.3124,0.3902,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027-g3-r2/G3-R2-RL-AnswerF1-Anchor050-s42/qa_eval/summary.json
G3-R2-RL-AnswerF1-Anchor050,g3-r2,macro_avg,,0.4991,0.5646,0.6243,0.3991,0.4033,,,,,,,,0.3219,0.4073,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027-g3-r2/G3-R2-RL-AnswerF1-Anchor050-s42/qa_eval/summary.json
G3-R2-RL-AnswerF1,g3-r2,nq,3610,0.6881,0.7598,0.8175,0.556,0.5601,,,,,,,,0.3524,0.4614,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027-g3-r2/G3-R2-RL-AnswerF1-s42/qa_eval/summary.json
G3-R2-RL-AnswerF1,g3-r2,hotpotqa,7405,0.5022,0.563,0.6139,0.3981,0.4016,0.0927,0.1061,0.116,0.0513,0.0714,0.0863,0.1529,0.3305,0.4308,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027-g3-r2/G3-R2-RL-AnswerF1-s42/qa_eval/summary.json
G3-R2-RL-AnswerF1,g3-r2,popqa,14267,0.7044,0.7627,0.8056,0.5952,0.5982,,,,,,,,0.4187,0.489,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027-g3-r2/G3-R2-RL-AnswerF1-s42/qa_eval/summary.json
G3-R2-RL-AnswerF1,g3-r2,triviaqa,11313,0.7361,0.7814,0.8178,0.6368,0.6394,,,,,,,,0.6022,0.6876,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027-g3-r2/G3-R2-RL-AnswerF1-s42/qa_eval/summary.json
G3-R2-RL-AnswerF1,g3-r2,2wikimultihopqa,12576,0.3892,0.4563,0.5151,0.2877,0.2919,0.2036,0.2253,0.2412,0.0559,0.0872,0.1131,0.3746,0.2836,0.3455,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027-g3-r2/G3-R2-RL-AnswerF1-s42/qa_eval/summary.json
G3-R2-RL-AnswerF1,g3-r2,musique,2417,0.2284,0.2958,0.3612,0.1612,0.1657,0.0648,0.0747,0.085,0.0062,0.0132,0.0207,0.2052,0.0712,0.1516,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027-g3-r2/G3-R2-RL-AnswerF1-s42/qa_eval/summary.json
G3-R2-RL-AnswerF1,g3-r2,bamboogle,125,0.216,0.32,0.392,0.1154,0.1201,,,,,,,,0.176,0.2786,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027-g3-r2/G3-R2-RL-AnswerF1-s42/qa_eval/summary.json
G3-R2-RL-AnswerF1,g3-r2,training_domain_avg,,0.5952,0.6614,0.7157,0.4771,0.4809,,,,,,,,0.3414,0.4461,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027-g3-r2/G3-R2-RL-AnswerF1-s42/qa_eval/summary.json
G3-R2-RL-AnswerF1,g3-r2,held_out_avg,,0.4548,0.5233,0.5784,0.3593,0.3631,,,,,,,,0.3103,0.3905,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027-g3-r2/G3-R2-RL-AnswerF1-s42/qa_eval/summary.json
G3-R2-RL-AnswerF1,g3-r2,macro_avg,,0.4949,0.5627,0.6176,0.3929,0.3967,,,,,,,,0.3192,0.4064,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027-g3-r2/G3-R2-RL-AnswerF1-s42/qa_eval/summary.json
G3-R2-RL-BinaryNDCG,g3-r2,nq,3610,0.7122,0.7776,0.8274,0.5863,0.5898,,,,,,,,0.3584,0.4644,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027-g3-r2/G3-R2-RL-BinaryNDCG-s42/qa_eval/summary.json
G3-R2-RL-BinaryNDCG,g3-r2,hotpotqa,7405,0.4932,0.5523,0.6077,0.3915,0.3953,0.1004,0.1119,0.1198,0.0602,0.0786,0.0914,0.1529,0.33,0.4315,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027-g3-r2/G3-R2-RL-BinaryNDCG-s42/qa_eval/summary.json
G3-R2-RL-BinaryNDCG,g3-r2,popqa,14267,0.7027,0.7571,0.8015,0.5962,0.5993,,,,,,,,0.4108,0.482,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027-g3-r2/G3-R2-RL-BinaryNDCG-s42/qa_eval/summary.json
G3-R2-RL-BinaryNDCG,g3-r2,triviaqa,11313,0.7359,0.7822,0.8183,0.636,0.6385,,,,,,,,0.6011,0.687,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027-g3-r2/G3-R2-RL-BinaryNDCG-s42/qa_eval/summary.json
G3-R2-RL-BinaryNDCG,g3-r2,2wikimultihopqa,12576,0.3983,0.4617,0.518,0.2961,0.3,0.2141,0.2326,0.2471,0.0693,0.0967,0.1224,0.3746,0.2838,0.3463,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027-g3-r2/G3-R2-RL-BinaryNDCG-s42/qa_eval/summary.json
G3-R2-RL-BinaryNDCG,g3-r2,musique,2417,0.1887,0.2396,0.2938,0.1343,0.1381,0.0759,0.0852,0.0908,0.0091,0.0153,0.0203,0.2052,0.0559,0.1337,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027-g3-r2/G3-R2-RL-BinaryNDCG-s42/qa_eval/summary.json
G3-R2-RL-BinaryNDCG,g3-r2,bamboogle,125,0.2,0.296,0.368,0.1145,0.1192,,,,,,,,0.216,0.2959,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027-g3-r2/G3-R2-RL-BinaryNDCG-s42/qa_eval/summary.json
G3-R2-RL-BinaryNDCG,g3-r2,training_domain_avg,,0.6027,0.6649,0.7176,0.4889,0.4926,,,,,,,,0.3442,0.448,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027-g3-r2/G3-R2-RL-BinaryNDCG-s42/qa_eval/summary.json
G3-R2-RL-BinaryNDCG,g3-r2,held_out_avg,,0.4451,0.5073,0.5599,0.3554,0.359,,,,,,,,0.3135,0.389,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027-g3-r2/G3-R2-RL-BinaryNDCG-s42/qa_eval/summary.json
G3-R2-RL-BinaryNDCG,g3-r2,macro_avg,,0.4901,0.5523,0.6049,0.3936,0.3972,,,,,,,,0.3223,0.4058,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027-g3-r2/G3-R2-RL-BinaryNDCG-s42/qa_eval/summary.json
G3-R2-RL-GradedNDCG-Anchor010,g3-r2,nq,3610,0.7233,0.7873,0.8346,0.5923,0.5956,,,,,,,,0.3587,0.4655,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027-g3-r2/G3-R2-RL-GradedNDCG-Anchor010-s42/qa_eval/summary.json
G3-R2-RL-GradedNDCG-Anchor010,g3-r2,hotpotqa,7405,0.5036,0.5596,0.6136,0.3965,0.4003,0.1002,0.111,0.1202,0.0602,0.0771,0.0916,0.1529,0.3348,0.4355,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027-g3-r2/G3-R2-RL-GradedNDCG-Anchor010-s42/qa_eval/summary.json
G3-R2-RL-GradedNDCG-Anchor010,g3-r2,popqa,14267,0.711,0.7655,0.8077,0.6068,0.6098,,,,,,,,0.4181,0.489,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027-g3-r2/G3-R2-RL-GradedNDCG-Anchor010-s42/qa_eval/summary.json
G3-R2-RL-GradedNDCG-Anchor010,g3-r2,triviaqa,11313,0.746,0.793,0.8256,0.6479,0.6502,,,,,,,,0.6064,0.6927,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027-g3-r2/G3-R2-RL-GradedNDCG-Anchor010-s42/qa_eval/summary.json
G3-R2-RL-GradedNDCG-Anchor010,g3-r2,2wikimultihopqa,12576,0.4039,0.4676,0.5254,0.3003,0.3043,0.2142,0.2328,0.2478,0.0685,0.0971,0.1235,0.3746,0.2876,0.3498,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027-g3-r2/G3-R2-RL-GradedNDCG-Anchor010-s42/qa_eval/summary.json
G3-R2-RL-GradedNDCG-Anchor010,g3-r2,musique,2417,0.204,0.2561,0.319,0.1444,0.1487,0.0742,0.0839,0.0904,0.0083,0.0157,0.0203,0.2052,0.0583,0.1391,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027-g3-r2/G3-R2-RL-GradedNDCG-Anchor010-s42/qa_eval/summary.json
G3-R2-RL-GradedNDCG-Anchor010,g3-r2,bamboogle,125,0.208,0.304,0.392,0.1192,0.1251,,,,,,,,0.224,0.3029,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027-g3-r2/G3-R2-RL-GradedNDCG-Anchor010-s42/qa_eval/summary.json
G3-R2-RL-GradedNDCG-Anchor010,g3-r2,training_domain_avg,,0.6134,0.6734,0.7241,0.4944,0.4979,,,,,,,,0.3467,0.4505,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027-g3-r2/G3-R2-RL-GradedNDCG-Anchor010-s42/qa_eval/summary.json
G3-R2-RL-GradedNDCG-Anchor010,g3-r2,held_out_avg,,0.4546,0.5173,0.5739,0.3637,0.3676,,,,,,,,0.3189,0.3947,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027-g3-r2/G3-R2-RL-GradedNDCG-Anchor010-s42/qa_eval/summary.json
G3-R2-RL-GradedNDCG-Anchor010,g3-r2,macro_avg,,0.5,0.5619,0.6169,0.4011,0.4049,,,,,,,,0.3268,0.4107,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027-g3-r2/G3-R2-RL-GradedNDCG-Anchor010-s42/qa_eval/summary.json
G3-R2-RL-GradedNDCG-Anchor050,g3-r2,nq,3610,0.7211,0.7878,0.8332,0.5908,0.5941,,,,,,,,0.362,0.4689,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027-g3-r2/G3-R2-RL-GradedNDCG-Anchor050-s42/qa_eval/summary.json
G3-R2-RL-GradedNDCG-Anchor050,g3-r2,hotpotqa,7405,0.5014,0.5571,0.6096,0.3965,0.4002,0.099,0.11,0.1191,0.0582,0.0748,0.0891,0.1529,0.3352,0.4368,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027-g3-r2/G3-R2-RL-GradedNDCG-Anchor050-s42/qa_eval/summary.json
G3-R2-RL-GradedNDCG-Anchor050,g3-r2,popqa,14267,0.7141,0.7683,0.8094,0.6098,0.6127,,,,,,,,0.4202,0.4906,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027-g3-r2/G3-R2-RL-GradedNDCG-Anchor050-s42/qa_eval/summary.json
G3-R2-RL-GradedNDCG-Anchor050,g3-r2,triviaqa,11313,0.7514,0.796,0.8283,0.6535,0.6557,,,,,,,,0.6074,0.6949,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027-g3-r2/G3-R2-RL-GradedNDCG-Anchor050-s42/qa_eval/summary.json
G3-R2-RL-GradedNDCG-Anchor050,g3-r2,2wikimultihopqa,12576,0.4038,0.4673,0.526,0.3003,0.3044,0.2119,0.2321,0.2468,0.0659,0.0963,0.1215,0.3746,0.2903,0.3526,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027-g3-r2/G3-R2-RL-GradedNDCG-Anchor050-s42/qa_eval/summary.json
G3-R2-RL-GradedNDCG-Anchor050,g3-r2,musique,2417,0.2085,0.271,0.3318,0.1472,0.1512,0.0733,0.0814,0.089,0.0091,0.0149,0.019,0.2052,0.0658,0.1446,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027-g3-r2/G3-R2-RL-GradedNDCG-Anchor050-s42/qa_eval/summary.json
G3-R2-RL-GradedNDCG-Anchor050,g3-r2,bamboogle,125,0.216,0.296,0.408,0.1267,0.134,,,,,,,,0.192,0.2783,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027-g3-r2/G3-R2-RL-GradedNDCG-Anchor050-s42/qa_eval/summary.json
G3-R2-RL-GradedNDCG-Anchor050,g3-r2,training_domain_avg,,0.6112,0.6724,0.7214,0.4937,0.4971,,,,,,,,0.3486,0.4529,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027-g3-r2/G3-R2-RL-GradedNDCG-Anchor050-s42/qa_eval/summary.json
G3-R2-RL-GradedNDCG-Anchor050,g3-r2,held_out_avg,,0.4588,0.5197,0.5807,0.3675,0.3716,,,,,,,,0.3151,0.3922,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027-g3-r2/G3-R2-RL-GradedNDCG-Anchor050-s42/qa_eval/summary.json
G3-R2-RL-GradedNDCG-Anchor050,g3-r2,macro_avg,,0.5023,0.5633,0.6209,0.4035,0.4075,,,,,,,,0.3247,0.4095,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027-g3-r2/G3-R2-RL-GradedNDCG-Anchor050-s42/qa_eval/summary.json
G3-R2-RL-GradedNDCG-LRHalf,g3-r2,nq,3610,0.7199,0.7842,0.831,0.5907,0.5941,,,,,,,,0.3565,0.4636,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027-g3-r2/G3-R2-RL-GradedNDCG-LRHalf-s42/qa_eval/summary.json
G3-R2-RL-GradedNDCG-LRHalf,g3-r2,hotpotqa,7405,0.5014,0.56,0.6128,0.3961,0.3998,0.1007,0.1113,0.1199,0.061,0.0775,0.0917,0.1529,0.3318,0.4324,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027-g3-r2/G3-R2-RL-GradedNDCG-LRHalf-s42/qa_eval/summary.json
G3-R2-RL-GradedNDCG-LRHalf,g3-r2,popqa,14267,0.7069,0.7614,0.8056,0.6017,0.6048,,,,,,,,0.4153,0.4864,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027-g3-r2/G3-R2-RL-GradedNDCG-LRHalf-s42/qa_eval/summary.json
G3-R2-RL-GradedNDCG-LRHalf,g3-r2,triviaqa,11313,0.7422,0.7886,0.8228,0.6434,0.6459,,,,,,,,0.6051,0.6914,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027-g3-r2/G3-R2-RL-GradedNDCG-LRHalf-s42/qa_eval/summary.json
G3-R2-RL-GradedNDCG-LRHalf,g3-r2,2wikimultihopqa,12576,0.4024,0.4672,0.523,0.2987,0.3025,0.2136,0.233,0.247,0.0679,0.0979,0.1225,0.3746,0.2878,0.3485,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027-g3-r2/G3-R2-RL-GradedNDCG-LRHalf-s42/qa_eval/summary.json
G3-R2-RL-GradedNDCG-LRHalf,g3-r2,musique,2417,0.2056,0.2573,0.3169,0.1423,0.1464,0.0746,0.0842,0.0897,0.0095,0.0157,0.0203,0.2052,0.0658,0.1422,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027-g3-r2/G3-R2-RL-GradedNDCG-LRHalf-s42/qa_eval/summary.json
G3-R2-RL-GradedNDCG-LRHalf,g3-r2,bamboogle,125,0.208,0.304,0.392,0.1229,0.1291,,,,,,,,0.224,0.3163,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027-g3-r2/G3-R2-RL-GradedNDCG-LRHalf-s42/qa_eval/summary.json
G3-R2-RL-GradedNDCG-LRHalf,g3-r2,training_domain_avg,,0.6107,0.6721,0.7219,0.4934,0.4969,,,,,,,,0.3442,0.448,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027-g3-r2/G3-R2-RL-GradedNDCG-LRHalf-s42/qa_eval/summary.json
G3-R2-RL-GradedNDCG-LRHalf,g3-r2,held_out_avg,,0.453,0.5157,0.572,0.3618,0.3657,,,,,,,,0.3196,0.3969,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027-g3-r2/G3-R2-RL-GradedNDCG-LRHalf-s42/qa_eval/summary.json
G3-R2-RL-GradedNDCG-LRHalf,g3-r2,macro_avg,,0.4981,0.5604,0.6149,0.3994,0.4032,,,,,,,,0.3266,0.4115,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027-g3-r2/G3-R2-RL-GradedNDCG-LRHalf-s42/qa_eval/summary.json
G3-R2-RL-GradedNDCG-Seed3407,g3-r2,nq,3610,0.7219,0.7848,0.8285,0.5931,0.5962,,,,,,,,0.3584,0.4642,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027-g3-r2/G3-R2-RL-GradedNDCG-Seed3407-s3407/qa_eval/summary.json
G3-R2-RL-GradedNDCG-Seed3407,g3-r2,hotpotqa,7405,0.5014,0.5625,0.615,0.3987,0.4024,0.1006,0.1118,0.1204,0.0613,0.0783,0.0924,0.1529,0.3299,0.4305,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027-g3-r2/G3-R2-RL-GradedNDCG-Seed3407-s3407/qa_eval/summary.json
G3-R2-RL-GradedNDCG-Seed3407,g3-r2,popqa,14267,0.7107,0.7634,0.8063,0.6046,0.6076,,,,,,,,0.4115,0.4826,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027-g3-r2/G3-R2-RL-GradedNDCG-Seed3407-s3407/qa_eval/summary.json
G3-R2-RL-GradedNDCG-Seed3407,g3-r2,triviaqa,11313,0.739,0.7877,0.8212,0.6391,0.6415,,,,,,,,0.6026,0.6884,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027-g3-r2/G3-R2-RL-GradedNDCG-Seed3407-s3407/qa_eval/summary.json
G3-R2-RL-GradedNDCG-Seed3407,g3-r2,2wikimultihopqa,12576,0.4023,0.4645,0.522,0.2999,0.3039,0.2133,0.2319,0.2465,0.0681,0.0959,0.1209,0.3746,0.2844,0.3473,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027-g3-r2/G3-R2-RL-GradedNDCG-Seed3407-s3407/qa_eval/summary.json
G3-R2-RL-GradedNDCG-Seed3407,g3-r2,musique,2417,0.1969,0.2474,0.307,0.139,0.1432,0.0756,0.0855,0.0908,0.0091,0.0161,0.0203,0.2052,0.0654,0.1429,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027-g3-r2/G3-R2-RL-GradedNDCG-Seed3407-s3407/qa_eval/summary.json
G3-R2-RL-GradedNDCG-Seed3407,g3-r2,bamboogle,125,0.2,0.28,0.384,0.1159,0.123,,,,,,,,0.184,0.2525,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027-g3-r2/G3-R2-RL-GradedNDCG-Seed3407-s3407/qa_eval/summary.json
G3-R2-RL-GradedNDCG-Seed3407,g3-r2,training_domain_avg,,0.6117,0.6736,0.7218,0.4959,0.4993,,,,,,,,0.3442,0.4474,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027-g3-r2/G3-R2-RL-GradedNDCG-Seed3407-s3407/qa_eval/summary.json
G3-R2-RL-GradedNDCG-Seed3407,g3-r2,held_out_avg,,0.4498,0.5086,0.5681,0.3597,0.3638,,,,,,,,0.3096,0.3828,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027-g3-r2/G3-R2-RL-GradedNDCG-Seed3407-s3407/qa_eval/summary.json
G3-R2-RL-GradedNDCG-Seed3407,g3-r2,macro_avg,,0.496,0.5558,0.612,0.3986,0.4025,,,,,,,,0.3195,0.4012,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027-g3-r2/G3-R2-RL-GradedNDCG-Seed3407-s3407/qa_eval/summary.json
G3-R2-RL-GradedNDCG,g3-r2,nq,3610,0.7216,0.7878,0.8302,0.5941,0.5971,,,,,,,,0.3554,0.4597,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027-g3-r2/G3-R2-RL-GradedNDCG-s42/qa_eval/summary.json
G3-R2-RL-GradedNDCG,g3-r2,hotpotqa,7405,0.4986,0.56,0.6134,0.3955,0.3993,0.1002,0.1116,0.1207,0.0602,0.0779,0.0929,0.1529,0.3344,0.4333,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027-g3-r2/G3-R2-RL-GradedNDCG-s42/qa_eval/summary.json
G3-R2-RL-GradedNDCG,g3-r2,popqa,14267,0.7048,0.7618,0.8054,0.5996,0.6027,,,,,,,,0.4127,0.4853,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027-g3-r2/G3-R2-RL-GradedNDCG-s42/qa_eval/summary.json
G3-R2-RL-GradedNDCG,g3-r2,triviaqa,11313,0.7424,0.7859,0.8203,0.6405,0.6429,,,,,,,,0.605,0.6914,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027-g3-r2/G3-R2-RL-GradedNDCG-s42/qa_eval/summary.json
G3-R2-RL-GradedNDCG,g3-r2,2wikimultihopqa,12576,0.402,0.4677,0.522,0.2985,0.3022,0.2146,0.2335,0.2478,0.0699,0.0983,0.1236,0.3746,0.2869,0.3488,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027-g3-r2/G3-R2-RL-GradedNDCG-s42/qa_eval/summary.json
G3-R2-RL-GradedNDCG,g3-r2,musique,2417,0.1965,0.2511,0.312,0.1388,0.1428,0.076,0.0847,0.0904,0.0091,0.0153,0.0207,0.2052,0.0604,0.1336,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027-g3-r2/G3-R2-RL-GradedNDCG-s42/qa_eval/summary.json
G3-R2-RL-GradedNDCG,g3-r2,bamboogle,125,0.2,0.304,0.384,0.1231,0.1289,,,,,,,,0.232,0.3088,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027-g3-r2/G3-R2-RL-GradedNDCG-s42/qa_eval/summary.json
G3-R2-RL-GradedNDCG,g3-r2,training_domain_avg,,0.6101,0.6739,0.7218,0.4948,0.4982,,,,,,,,0.3449,0.4465,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027-g3-r2/G3-R2-RL-GradedNDCG-s42/qa_eval/summary.json
G3-R2-RL-GradedNDCG,g3-r2,held_out_avg,,0.4491,0.5141,0.5687,0.3601,0.3639,,,,,,,,0.3194,0.3936,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027-g3-r2/G3-R2-RL-GradedNDCG-s42/qa_eval/summary.json
G3-R2-RL-GradedNDCG,g3-r2,macro_avg,,0.4951,0.5598,0.6125,0.3986,0.4023,,,,,,,,0.3267,0.4087,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027-g3-r2/G3-R2-RL-GradedNDCG-s42/qa_eval/summary.json
G3-R2-RL-MRR-Graded,g3-r2,nq,3610,0.7144,0.7878,0.8335,0.5914,0.5946,,,,,,,,0.3598,0.4649,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027-g3-r2/G3-R2-RL-MRR-Graded-s42/qa_eval/summary.json
G3-R2-RL-MRR-Graded,g3-r2,hotpotqa,7405,0.4658,0.5199,0.5706,0.373,0.3766,0.0938,0.1043,0.1121,0.0481,0.065,0.0766,0.1529,0.3242,0.4224,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027-g3-r2/G3-R2-RL-MRR-Graded-s42/qa_eval/summary.json
G3-R2-RL-MRR-Graded,g3-r2,popqa,14267,0.7128,0.7682,0.811,0.6083,0.6113,,,,,,,,0.4166,0.4888,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027-g3-r2/G3-R2-RL-MRR-Graded-s42/qa_eval/summary.json
G3-R2-RL-MRR-Graded,g3-r2,triviaqa,11313,0.7361,0.7845,0.8184,0.639,0.6414,,,,,,,,0.6026,0.6893,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027-g3-r2/G3-R2-RL-MRR-Graded-s42/qa_eval/summary.json
G3-R2-RL-MRR-Graded,g3-r2,2wikimultihopqa,12576,0.39,0.4498,0.5119,0.2912,0.2955,0.2108,0.229,0.2429,0.0619,0.0896,0.114,0.3746,0.2812,0.3428,/mnt/tidal-alsh-share2/dataset/liuqi18/E2Rank/checkpoints/iclr2027-g3-r2/G3-R2-RL-MRR-Graded-s42/qa_eval/summary.json
